State,District,Connections released under earlier PMUY Scheme,Connections released under Ujjwala 2.0,Total connections released under PMUY,Per capita consumption (in terms of 14.2 Kg refills/Annum) -FY 25-26
Uttar Pradesh,Agra,330717,18212,348929,6.05
Uttar Pradesh,Aligarh,316374,9161,325535,6.12
Uttar Pradesh,Ambedkarnagar,177896,4838,182734,5.32
Uttar Pradesh,Amethi/csm Nagar,170671,3304,173975,4.44
Uttar Pradesh,Amroha,161023,2792,163815,6
Uttar Pradesh,Auraiya,135895,5306,141201,6
Uttar Pradesh,Azamgarh,298701,4903,303604,4.85
Uttar Pradesh,Baghpat,72207,1908,74115,6.79
Uttar Pradesh,Bahraich,446939,9243,456182,4.96
Uttar Pradesh,Ballia,220401,4054,224455,4.85
Uttar Pradesh,Balrampur - Up,221735,2840,224575,4.38
Uttar Pradesh,Banda,246565,2849,249414,3.39
Uttar Pradesh,Barabanki,323876,5623,329499,5.7
Uttar Pradesh,Bareilly,425053,8703,433756,5.86
Uttar Pradesh,Basti,207456,2619,210075,5.4
Uttar Pradesh,Bijnor,331253,6592,337845,5.71
Uttar Pradesh,Budaun,377261,10417,387678,5.28
Uttar Pradesh,Bulandshahr,351009,9693,360702,5.98
Uttar Pradesh,Chandauli,196895,2006,198901,5.41
Uttar Pradesh,Chitrukut,130951,510,131461,3.12
Uttar Pradesh,Deoria,198512,2034,200546,5.62
Uttar Pradesh,Etah,169778,5440,175218,5.5
Uttar Pradesh,Etawah,160962,6039,167001,5.88
Uttar Pradesh,Faizabad,225982,4153,230135,5.74
Uttar Pradesh,Farrukkhabad,165169,2556,167725,6.13
Uttar Pradesh,Fatehpur-east,286649,4474,291123,4.53
Uttar Pradesh,Firozabad,232460,6721,239181,5.84
Uttar Pradesh,Gautam Budh Nagar,76923,17419,94342,7.95
Uttar Pradesh,Ghaziabad,106546,5509,112055,7.39
Uttar Pradesh,Ghazipur,312919,6116,319035,5.11
Uttar Pradesh,Gonda,342104,4354,346458,4.72
Uttar Pradesh,Gorakhpur,292495,3817,296312,5.89
Uttar Pradesh,Hamirpur - Up,160787,3502,164289,3.46
Uttar Pradesh,Hapur,75325,2408,77733,7.2
Uttar Pradesh,Hardoi,510181,6322,516503,4.8
Uttar Pradesh,Hathras,181355,7139,188494,6.06
Uttar Pradesh,Jalaun,182425,1515,183940,4.07
Uttar Pradesh,Jaunpur,407335,7778,415113,4.88
Uttar Pradesh,Jhansi,217443,3837,221280,4.8
Uttar Pradesh,Kannuj,172143,2646,174789,5.78
Uttar Pradesh,Kanpur Rural,220001,3030,223031,5.25
Uttar Pradesh,Kanpur Urban,192612,5158,197770,6.27
Uttar Pradesh,Kashi Ram Nagar,211789,8580,220369,5.65
Uttar Pradesh,Kaushambi,182867,1556,184423,4.03
Uttar Pradesh,Kushinagar,314953,5306,320259,5.21
Uttar Pradesh,Lakhimpur - Up,519480,13788,533268,5.02
Uttar Pradesh,Lalitpur,194863,3091,197954,2.86
Uttar Pradesh,Lucknow,259127,3867,262994,7.2
Uttar Pradesh,Maharajganj,256484,3365,259849,6
Uttar Pradesh,Mahoba,119206,2296,121502,3.81
Uttar Pradesh,Mainpuri,168547,5609,174156,6.46
Uttar Pradesh,Mathura,213559,11107,224666,6.82
Uttar Pradesh,Maunathbhanjan,156437,3195,159632,4.93
Uttar Pradesh,Meerut,198604,7300,205904,6.9
Uttar Pradesh,Mirzapur,320927,4123,325050,4.68
Uttar Pradesh,Moradabad,276441,5689,282130,6.91
Uttar Pradesh,Muzaffarnagar,249484,7874,257358,6.56
Uttar Pradesh,Pilibhit,232044,3434,235478,5.55
Uttar Pradesh,Pratapgarh - Up,272890,5905,278795,4.66
Uttar Pradesh,Prayagraj,585623,6288,591911,4.85
Uttar Pradesh,Rae-bareilly,276795,6765,283560,4.92
Uttar Pradesh,Rampur,242783,3320,246103,6.53
Uttar Pradesh,Saharanpur,258475,2958,261433,6.43
Uttar Pradesh,Sambhal,219410,4894,224304,5.8
Uttar Pradesh,Sant Kabir Nagar,138409,3050,141459,6.54
Uttar Pradesh,Sant Ravi Nagar,194460,1963,196423,4.25
Uttar Pradesh,Shahjahanpur,358204,8550,366754,5.64
Uttar Pradesh,Shamli,114199,1259,115458,6.26
Uttar Pradesh,Shravasti,156394,2366,158760,5.04
Uttar Pradesh,Sidharthnagar,204198,4308,208506,5.72
Uttar Pradesh,Sitapur,592830,11057,603887,4.56
Uttar Pradesh,Sonbhadra,251980,3640,255620,3.2
Uttar Pradesh,Sultanpur,230447,5243,235690,5.31
Uttar Pradesh,Unnao,316946,4551,321497,4.82
Uttar Pradesh,Varanasi,252653,7104,259757,6.28
,Total,18574492,400941,18975433,
